Epic,Module,Description
CX3PMR-3389,main_cpu1.cpp , HLR Decomposition from module:  \1x_cpu1_pam\source\main_cpu1.cpp
CX3PMR-3389,Memm_cpu1_2837x.cpp , HLR Decomposition from module:  \1x_cpu1_pam\source\Memm_cpu1_2837x.cpp
CX3PMR-3389,Memm_cpu1_2838x.cpp , HLR Decomposition from module:  \1x_cpu1_pam\source\Memm_cpu1_2838x.cpp
CX3PMR-3389,Vmain_cpu1.cpp , HLR Decomposition from module:  \1x_cpu1_pam\source\Vmain_cpu1.cpp
CX3PMR-3389,xtal_cfg.cpp , HLR Decomposition from module:  \1x_cpu1_pam\source\xtal_cfg.cpp
CX3PMR-3389,Mem_to_wipe.cpp , HLR Decomposition from module:  \1x_cpu1_pam\\source_pa\Mem_to_wipe.cpp
CX3PMR-3389,main_cpu1.cpp , HLR Decomposition from module:  \1x_cpu1_par0\source\main_cpu1.cpp
CX3PMR-3389,Memm_cpu1_2837x.cpp , HLR Decomposition from module:  \1x_cpu1_par0\source\Memm_cpu1_2837x.cpp
CX3PMR-3389,Memm_cpu1_2838x.cpp , HLR Decomposition from module:  \1x_cpu1_par0\source\Memm_cpu1_2838x.cpp
CX3PMR-3389,Vmain_cpu1.cpp , HLR Decomposition from module:  \1x_cpu1_par0\source\Vmain_cpu1.cpp
CX3PMR-3389,xtal_cfg.cpp , HLR Decomposition from module:  \1x_cpu1_par0\source\xtal_cfg.cpp
CX3PMR-3389,Mem_to_wipe.cpp , HLR Decomposition from module:  \1x_cpu1_par0\\source_pa\Mem_to_wipe.cpp
CX3PMR-3389,main_cpu1.cpp , HLR Decomposition from module:  \1x_cpu1_par1\source\main_cpu1.cpp
CX3PMR-3389,Memm_cpu1_2837x.cpp , HLR Decomposition from module:  \1x_cpu1_par1\source\Memm_cpu1_2837x.cpp
CX3PMR-3389,Memm_cpu1_2838x.cpp , HLR Decomposition from module:  \1x_cpu1_par1\source\Memm_cpu1_2838x.cpp
CX3PMR-3389,Vmain_cpu1.cpp , HLR Decomposition from module:  \1x_cpu1_par1\source\Vmain_cpu1.cpp
CX3PMR-3389,xtal_cfg.cpp , HLR Decomposition from module:  \1x_cpu1_par1\source\xtal_cfg.cpp
CX3PMR-3389,Mem_to_wipe.cpp , HLR Decomposition from module:  \1x_cpu1_par1\source_pa\Mem_to_wipe.cpp
CX3PMR-3389,main_cpu2.cpp , HLR Decomposition from module:  \1x_cpu2_pam\source\main_cpu2.cpp
CX3PMR-3389,Vmain_cpu2.cpp , HLR Decomposition from module:  \1x_cpu2_pam\source\Vmain_cpu2.cpp
CX3PMR-3389,Blockfactory_pam.cpp , HLR Decomposition from module:  \1x_cpu2_pam\source\Blockfactory_pam.cpp
CX3PMR-3389,main_cpu2.cpp , HLR Decomposition from module:  \1x_cpu2_par0\source\main_cpu2.cpp
CX3PMR-3389,Vmain_cpu2.cpp , HLR Decomposition from module:  \1x_cpu2_par0\source\Vmain_cpu2.cpp
CX3PMR-3389,Blockfactory_par.cpp , HLR Decomposition from module:  \1x_cpu2_par0\source\Blockfactory_par.cpp
CX3PMR-3389,main_cpu2.cpp , HLR Decomposition from module:  \1x_cpu2_par1\source\main_cpu2.cpp
CX3PMR-3389,Vmain_cpu2.cpp , HLR Decomposition from module:  \1x_cpu2_par1\source\Vmain_cpu2.cpp
CX3PMR-3389,Blockfactory_pac.cpp , HLR Decomposition from module:  \1x_cpu2_par1\source\Blockfactory_pac.cpp
